Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Intra-Fund Transfer,Intra-Fund Transfers,CREDIT FOR INTERDEPT SER REND,-300000,-300000
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,2300,2300
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,2300,2300
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,2334,2334
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,4452,4452
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,4494,4494
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,4909,4909
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,4995,4995
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,7254,9599
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,9884,9884
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,9884,9884
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,10725,10725
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,12506,12506
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,13031,13031
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,13076,13076
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,14334,14334
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,14555,14555
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,22750,22750
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,22750,22750
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,22750,22750
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,27561,27561
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,32135,32135
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,33054,33054
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,33099,33099
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,34092,34092
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,55723,55723
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,55917,55917
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,59333,59333
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,59915,59915
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,61295,61295
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,71641,71641
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,98115,98115
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,103065,103065
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,117553,117553
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,154805,154805
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,158501,158501
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,190833,190833
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,902301,902301
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,905421,905421
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,992152,992152
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,5580036,5580036
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,5875464,5875464
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Aging,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,5932248,5932248
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,60402287,60402287
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,69931158,69931158
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,74477303,74477303
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",IHSS Public Authority,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1252942,1252942
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",IHSS Public Authority,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1293013,1293013
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",IHSS Public Authority,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,1401350,1401350
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,95950,95950
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Social Services Grants,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,342925,342925
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Intra-Fund Transfer,Intra-Fund Transfers,CREDIT FOR INTERDEPT SER REND,-1000000,-1000000
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Intra-Fund Transfer,Intra-Fund Transfers,CREDIT FOR INTERDEPT SER REND,-1000000,-1000000
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Intra-Fund Transfer,Intra-Fund Transfers,CREDIT FOR INTERDEPT SER REND,-1000000,-1000000
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Maintenance - Radio Services,549,549
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,25000,25000
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,25000,25000
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,66931,68114
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,70765,71799
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,77498,77498
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,81491,88682
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,145403,144468
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,169229,169704
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,171710,171710
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,176873,176873
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,179754,174961
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Other Charges,Other Charges,OTHER CHARGES,180000,180000
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,197337,200963
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,207640,208301
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,210248,210248
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,216903,209713
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,219206,223066
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,238159,238159
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,407395,407395
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,425825,422863
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,489390,487460
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,495806,497180
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,531758,531758
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,556295,559190
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,730762,730762
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,756525,770454
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,839139,854615
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,1595419,1595419
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1639174,1627578
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,1814093,1801445
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,2066899,2072501
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,2077823,2077823
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,2112542,2118409
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,2509040,2555304
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,2879571,2930659
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,3024312,3024312
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,3322795,3090880
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,5516936,5477878
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,6775915,6749093
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,7043155,7062256
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,8088344,8130589
2013,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,13467241,13716256
2014,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,29119054,28914791
2015,Public Assistance,"Adult, Aging and Medi-Cal Services  ",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,33914439,34008508
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Maintenance - Radio Services,6682,6682
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Maintenance - Radio Services,12500,12500
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Fixed Assets,Fixed Assets,EQUIPMENT,18020,18020
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Radio Services,33480,33480
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,110169,108364
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,113294,113294
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,120724,118204
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,121920,121920
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,123649,123649
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,129535,122212
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Overtime,144898,134108
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,298903,298903
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,326139,320908
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,333137,333137
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,345090,338335
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,349754,349754
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,381276,360036
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,392416,368051
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,394217,394217
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,440821,436028
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,450407,450407
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,476963,471977
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,637356,637356
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,670000,670000
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,746197,746197
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,799690,799690
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,829270,829270
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1025451,1025451
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1250328,1250328
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1276732,1256787
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1311224,1311224
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,1377353,1355011
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,1409030,1409030
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,1599308,2428578
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,1613968,1523263
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,1619533,1531099
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,2000000,2000000
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Communications-Telephony Services,2034106,2034106
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,2103965,2726272
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Professional & Public Liability Insurance,2430293,2430293
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,3317080,3317080
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,3317080,3317080
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,4173486,4107247
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,4348376,4348376
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,4578220,4488814
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,4871430,4871430
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,4995778,5046516
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,5321857,5165377
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,5453187,5151637
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,5737064,5381501
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,14021000,14021000
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,14100000,14100000
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,16653982,16653982
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,17684788,17688512
2013,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,22371491,22013174
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,22375997,22559788
2014,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,22851168,22851168
2015,Public Assistance,"Administration & Finance, Social Services Agency",Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,26149903,24695827
2013,Public Assistance,Children and Family Services,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-1400519,-1400519
2014,Public Assistance,Children and Family Services,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-1148705,-1148705
2015,Public Assistance,Children and Family Services,Assistance Payments,Intra-Fund Transfer,Intra-Fund Transfers,OTHER COSTS APPLIED,-502455,-502455
2013,Public Assistance,Children and Family Services,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,73796153,73796153
2014,Public Assistance,Children and Family Services,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,82414528,82414528
2015,Public Assistance,Children and Family Services,Assistance Payments,Other Charges,Other Charges,OTHER CHARGES,91392509,91392509
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,478,478
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Dental Hlth Ins Contributions,1338,1338
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1363,1363
2014,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Comp Insurance,1551,1551
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,HI tax Contributions,1583,1583
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Other Benefits,2600,2600
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,6320,6320
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,6768,6768
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,6910,6910
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,19736,19736
2013,Public Assistance,Children and Family Services,Social Services Grants,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,109160,109160
2013,Public Assistance,Children and Family Services,Social Services Grants,Other Financing Uses,Other Financing Uses,OPERATING TRANSFERS - OUT,214730,214730
2015,Public Assistance,Children and Family Services,Social Services Grants,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,360000,360000
2014,Public Assistance,Children and Family Services,Social Services Grants,Other Charges,Other Charges,OTHER CHARGES,369435,369435
2015,Public Assistance,Children and Family Services,Social Services Grants,Other Charges,Other Charges,OTHER CHARGES,369435,369435
2015,Public Assistance,Children and Family Services,Welfare Administration,Intra-Fund Transfer,Intra-Fund Transfers,CREDIT FOR INTERDEPT SER REND,-26440,-26440
2014,Public Assistance,Children and Family Services,Welfare Administration,Intra-Fund Transfer,Intra-Fund Transfers,CREDIT FOR INTERDEPT SER REND,-25000,-25000
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Maintenance - Radio Services,1909,1909
2014,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,199937,200754
2015,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,201529,202632
2013,Public Assistance,Children and Family Services,Welfare Administration,Salaries & Employee Benefits,Salaries & Benefits,SDI Contrib,212024,212024
2013,Public Assistance,Children and Family Services,Welfare Administration,Non-Discretionary Services & Supplies,Services & Supplies,Transportation-Motor Vehicle,268807,268807
